9562,latitude,longitude,type,residential_population
3370,48.6667346058,21.1911921898,dp,4
3371,48.6676263244,21.1911921898,dp,4
3372,48.668518043,21.1911921898,dp,4
3373,48.6694097616,21.1911921898,dp,4
3374,48.6703014802,21.1911921898,dp,27
3375,48.6827855406,21.1911921898,dp,3
3376,48.6613842941,21.1925468324,dp,19
3377,48.6622760127,21.1925468324,dp,9
3378,48.6631677313,21.1925468324,dp,9
3379,48.6640594499,21.1925468324,dp,9
3380,48.6649511686,21.1925468324,dp,9
3381,48.6658428872,21.1925468324,dp,9
3382,48.6667346058,21.1925468324,dp,4
3383,48.6676263244,21.1925468324,dp,1
3384,48.668518043,21.1925468324,dp,1
3385,48.6694097616,21.1925468324,dp,4
3386,48.6827855406,21.1925468324,dp,5
3387,48.6613842941,21.1939014749,dp,34
3388,48.6622760127,21.1939014749,dp,9
3389,48.6631677313,21.1939014749,dp,9
3390,48.6640594499,21.1939014749,dp,9
3391,48.6649511686,21.1939014749,dp,9
3392,48.6658428872,21.1939014749,dp,9
3393,48.6667346058,21.1939014749,dp,6
3394,48.6827855406,21.1939014749,dp,3
3395,48.6613842941,21.1952561175,dp,34
3396,48.6622760127,21.1952561175,dp,9
3397,48.6631677313,21.1952561175,dp,9
3398,48.6640594499,21.1952561175,dp,9
3399,48.6649511686,21.1952561175,dp,9
3400,48.6658428872,21.1952561175,dp,13
3401,48.6694097616,21.1952561175,dp,28
3402,48.6827855406,21.1952561175,dp,0
3403,48.6613842941,21.1966107601,dp,19
3404,48.6622760127,21.1966107601,dp,9
3405,48.6631677313,21.1966107601,dp,9
3406,48.6640594499,21.1966107601,dp,9
3407,48.6649511686,21.1966107601,dp,9
3408,48.6658428872,21.1966107601,dp,14
3409,48.6827855406,21.1966107601,dp,0
3410,48.6604925755,21.1979654027,dp,47
3411,48.6613842941,21.1979654027,dp,9
3412,48.6622760127,21.1979654027,dp,9
3413,48.6631677313,21.1979654027,dp,9
3414,48.6640594499,21.1979654027,dp,9
3415,48.6649511686,21.1979654027,dp,10
3416,48.6658428872,21.1979654027,dp,14
3417,48.681893822,21.1979654027,dp,0
3418,48.6827855406,21.1979654027,dp,1
3419,48.6613842941,21.1993200453,dp,15
3420,48.6622760127,21.1993200453,dp,9
3421,48.6631677313,21.1993200453,dp,9
3422,48.6640594499,21.1993200453,dp,13
3423,48.6658428872,21.1993200453,dp,21
3424,48.681893822,21.1993200453,dp,0
3425,48.6569257011,21.2006746879,dp,1
3426,48.6578174197,21.2006746879,dp,1
3427,48.6587091383,21.2006746879,dp,8
3428,48.6596008569,21.2006746879,dp,7
3429,48.6613842941,21.2006746879,dp,1
3430,48.6622760127,21.2006746879,dp,1
3431,48.6631677313,21.2006746879,dp,1
3432,48.6640594499,21.2006746879,dp,3
3433,48.6810021034,21.2006746879,dp,1
3434,48.681893822,21.2006746879,dp,0
3435,48.6560339825,21.2020293305,dp,1
3436,48.6569257011,21.2020293305,dp,1
3437,48.6578174197,21.2020293305,dp,1
3438,48.6587091383,21.2020293305,dp,1
3439,48.6596008569,21.2020293305,dp,1
3440,48.6613842941,21.2020293305,dp,1
3441,48.6622760127,21.2020293305,dp,1
3442,48.6631677313,21.2020293305,dp,3
3443,48.6810021034,21.2020293305,dp,0
3444,48.6480085151,21.2033839731,dp,5
3445,48.6489002337,21.2033839731,dp,2
3446,48.6497919523,21.2033839731,dp,3
3447,48.6506836709,21.2033839731,dp,1
3448,48.6560339825,21.2033839731,dp,1
3449,48.6569257011,21.2033839731,dp,1
3450,48.6578174197,21.2033839731,dp,1
3451,48.6587091383,21.2033839731,dp,1
3452,48.6596008569,21.2033839731,dp,1
3453,48.6622760127,21.2033839731,dp,2
3454,48.6801103848,21.2033839731,dp,1
3455,48.6810021034,21.2033839731,dp,0
3456,48.6497919523,21.2047386157,dp,13
3457,48.6506836709,21.2047386157,dp,1
3458,48.6515753895,21.2047386157,dp,1
3459,48.6524671081,21.2047386157,dp,1
3460,48.6533588267,21.2047386157,dp,1
3461,48.6542505453,21.2047386157,dp,1
3462,48.6551422639,21.2047386157,dp,1
3463,48.6578174197,21.2047386157,dp,1
3464,48.6587091383,21.2047386157,dp,1
3465,48.6596008569,21.2047386157,dp,1
3466,48.6622760127,21.2047386157,dp,3
3467,48.6801103848,21.2047386157,dp,0
3468,48.6551422639,21.2060932583,dp,1
3469,48.6560339825,21.2060932583,dp,1
3470,48.6569257011,21.2060932583,dp,1
3471,48.6578174197,21.2060932583,dp,1
3472,48.6587091383,21.2060932583,dp,1
3473,48.6596008569,21.2060932583,dp,1
3474,48.6622760127,21.2060932583,dp,2
3475,48.6801103848,21.2060932583,dp,0
3476,48.6810021034,21.2060932583,dp,0
3477,48.6587091383,21.2074479009,dp,1
3478,48.6596008569,21.2074479009,dp,1
3479,48.6604925755,21.2074479009,dp,1
3480,48.6613842941,21.2074479009,dp,1
3481,48.6622760127,21.2074479009,dp,1
3482,48.6631677313,21.2074479009,dp,2
3483,48.6810021034,21.2074479009,dp,1
3484,48.681893822,21.2074479009,dp,2
3485,48.6631677313,21.2088025435,dp,1
3486,48.6640594499,21.2088025435,dp,1
3487,48.6649511686,21.2088025435,dp,1
3488,48.6658428872,21.2088025435,dp,2
3489,48.6667346058,21.2088025435,dp,1
3490,48.6676263244,21.2088025435,dp,1
3491,48.681893822,21.2088025435,dp,1
3492,48.6827855406,21.2088025435,dp,1
3493,48.6622760127,21.2101571861,dp,9
3494,48.6667346058,21.2101571861,dp,4
3495,48.6676263244,21.2101571861,dp,1
3496,48.668518043,21.2101571861,dp,1
3497,48.6694097616,21.2101571861,dp,1
3498,48.6703014802,21.2101571861,dp,1
3499,48.6711931988,21.2101571861,dp,1
3500,48.677435229,21.2101571861,dp,2
3501,48.6827855406,21.2101571861,dp,3
3502,48.6703014802,21.2115118287,dp,4
3503,48.6711931988,21.2115118287,dp,1
3504,48.6720849174,21.2115118287,dp,1
3505,48.672976636,21.2115118287,dp,1
3506,48.6738683546,21.2115118287,dp,1
3507,48.681893822,21.2115118287,dp,1
3508,48.6827855406,21.2115118287,dp,2
3509,48.672976636,21.2128664712,dp,3
3510,48.6738683546,21.2128664712,dp,1
3511,48.6747600732,21.2128664712,dp,1
3512,48.6756517918,21.2128664712,dp,1
3513,48.6765435104,21.2128664712,dp,1
3514,48.677435229,21.2128664712,dp,1
3515,48.6810021034,21.2128664712,dp,1
3516,48.681893822,21.2128664712,dp,1
3517,48.6765435104,21.2142211138,dp,1
